image_id,split,instance_count,image_relative_path,label_relative_path
IMG0000019.jpg,train,1,images/train/IMG0000019.jpg,labels/train/IMG0000019.txt
IMG0000025.jpg,train,1,images/train/IMG0000025.jpg,labels/train/IMG0000025.txt
IMG0000044.jpg,train,1,images/train/IMG0000044.jpg,labels/train/IMG0000044.txt
IMG0000057.jpg,train,1,images/train/IMG0000057.jpg,labels/train/IMG0000057.txt
IMG0000058.jpg,train,1,images/train/IMG0000058.jpg,labels/train/IMG0000058.txt
IMG0000059.jpg,train,1,images/train/IMG0000059.jpg,labels/train/IMG0000059.txt
IMG0000092.jpg,train,1,images/train/IMG0000092.jpg,labels/train/IMG0000092.txt
IMG0000100.jpg,train,1,images/train/IMG0000100.jpg,labels/train/IMG0000100.txt
IMG0000142.jpg,train,1,images/train/IMG0000142.jpg,labels/train/IMG0000142.txt
IMG0000143.jpg,train,1,images/train/IMG0000143.jpg,labels/train/IMG0000143.txt
IMG0000144.jpg,train,1,images/train/IMG0000144.jpg,labels/train/IMG0000144.txt
IMG0000151.jpg,train,1,images/train/IMG0000151.jpg,labels/train/IMG0000151.txt
IMG0000155.jpg,train,1,images/train/IMG0000155.jpg,labels/train/IMG0000155.txt
IMG0000156.jpg,train,1,images/train/IMG0000156.jpg,labels/train/IMG0000156.txt
IMG0000188.jpg,train,1,images/train/IMG0000188.jpg,labels/train/IMG0000188.txt
IMG0000189.jpg,train,1,images/train/IMG0000189.jpg,labels/train/IMG0000189.txt
IMG0000190.jpg,train,1,images/train/IMG0000190.jpg,labels/train/IMG0000190.txt
IMG0000206.jpg,train,1,images/train/IMG0000206.jpg,labels/train/IMG0000206.txt
IMG0000207.jpg,train,1,images/train/IMG0000207.jpg,labels/train/IMG0000207.txt
IMG0000261.jpg,train,2,images/train/IMG0000261.jpg,labels/train/IMG0000261.txt
IMG0000284.jpg,train,2,images/train/IMG0000284.jpg,labels/train/IMG0000284.txt
IMG0000307.jpg,train,3,images/train/IMG0000307.jpg,labels/train/IMG0000307.txt
