image_id,split,instance_count,polygon_points
IMG0000019.jpg,train,1,8
IMG0000025.jpg,train,1,6
IMG0000044.jpg,train,1,6
IMG0000057.jpg,train,1,5
IMG0000058.jpg,train,1,6
IMG0000059.jpg,train,1,5
IMG0000092.jpg,train,1,6
IMG0000100.jpg,train,1,7
IMG0000142.jpg,train,1,5
IMG0000143.jpg,train,1,5
IMG0000144.jpg,train,1,6
IMG0000151.jpg,train,1,6
IMG0000155.jpg,train,1,6
IMG0000156.jpg,train,1,6
IMG0000188.jpg,train,1,5
IMG0000189.jpg,train,1,5
IMG0000190.jpg,train,1,5
IMG0000206.jpg,train,1,8
IMG0000207.jpg,train,1,7
IMG0000261.jpg,train,2,7;6
IMG0000284.jpg,train,2,7;9
IMG0000307.jpg,train,3,6;6;5
IMG0000319.jpg,train,1,7
IMG0000351.jpg,train,1,8
IMG0000352.jpg,train,1,8
IMG0000443.jpg,train,1,4
IMG0000453.jpg,train,1,4
IMG0000454.jpg,train,1,4
IMG0000455.jpg,train,1,4
IMG0000456.jpg,train,1,5
IMG0000466.jpg,train,2,4;4
IMG0000467.jpg,train,2,5;4
IMG0000468.jpg,train,2,5;4
IMG0000470.jpg,train,1,6
IMG0000471.jpg,train,1,4
IMG0000472.jpg,train,1,6
IMG0000479.jpg,train,2,7;5
IMG0000480.jpg,train,1,4
IMG0000599.jpg,train,1,7
IMG0000600.jpg,train,1,6
IMG0000671.jpg,train,2,5;4
IMG0000692.jpg,train,2,6;6
IMG0000702.jpg,train,1,7
IMG0000750.jpg,train,1,6
IMG0000751.jpg,train,1,7
IMG0000758.jpg,train,1,6
IMG0000762.jpg,train,1,5
IMG0000763.jpg,train,1,6
IMG0000776.jpg,train,1,5
IMG0000777.jpg,train,1,4
IMG0000801.jpg,train,1,7
IMG0000804.jpg,train,1,5
IMG0000805.jpg,train,1,5
IMG0000822.jpg,train,1,6
IMG0000844.jpg,train,1,7
IMG0000845.jpg,train,1,7
IMG0000851.jpg,train,2,5;4
IMG0000852.jpg,train,1,6
IMG0001007.jpg,train,1,8
IMG0001008.jpg,train,1,5
IMG0001025.jpg,train,1,8
IMG0001026.jpg,train,1,8
IMG0001041.jpg,train,1,6
IMG0001073.jpg,train,2,6;6
IMG0001123.jpg,train,2,6;5
IMG0001147.jpg,train,1,6
IMG0001148.jpg,train,1,6
IMG0001151.jpg,train,1,5
IMG0001152.jpg,train,1,7
IMG0001191.jpg,train,1,4
IMG0001192.jpg,train,1,4
IMG0001198.jpg,train,1,6
IMG0001199.jpg,train,1,6
IMG0001200.jpg,train,1,4
IMG0001236.jpg,train,2,6;7
IMG0001350.jpg,train,1,5
IMG0001351.jpg,train,1,6
IMG0001360.jpg,train,1,5
IMG0001361.jpg,train,1,7
IMG0001362.jpg,train,1,8
IMG0001363.jpg,train,1,8
IMG0001364.jpg,train,1,10
IMG0001365.jpg,train,1,9
IMG0001366.jpg,train,1,9
IMG0001367.jpg,train,1,9
IMG0001380.jpg,train,1,6
IMG0001381.jpg,train,1,7
IMG0001382.jpg,train,1,6
IMG0001391.jpg,train,1,5
IMG0001392.jpg,train,1,6
IMG0001410.jpg,train,2,6;7
IMG0001411.jpg,train,1,9
IMG0001428.jpg,train,2,5;6
IMG0001440.jpg,train,1,4
IMG0001441.jpg,train,1,6
IMG0001494.jpg,train,1,6
IMG0001495.jpg,train,1,5
IMG0001546.jpg,train,1,6
IMG0001570.jpg,train,1,5
IMG0001571.jpg,train,1,4
IMG0001572.jpg,train,1,4
IMG0001577.jpg,train,1,5
IMG0001578.jpg,train,1,6
IMG0001639.jpg,train,1,4
IMG0001640.jpg,train,1,7
IMG0001710.jpg,train,1,5
IMG0001730.jpg,train,2,5;4
IMG0001731.jpg,train,2,5;4
IMG0001738.jpg,train,1,4
IMG0001739.jpg,train,1,4
IMG0001760.jpg,train,2,7;7
IMG0001762.jpg,train,1,5
IMG0001763.jpg,train,1,4
IMG0001774.jpg,train,1,4
IMG0001780.jpg,train,2,5;4
IMG0001781.jpg,train,1,5
IMG0001805.jpg,train,1,4
IMG0001867.jpg,train,2,4;4
IMG0001868.jpg,train,1,4
IMG0001869.jpg,train,2,5;4
IMG0001870.jpg,train,1,6
IMG0001916.jpg,train,1,5
IMG0001933.jpg,train,1,4
IMG0001934.jpg,train,1,7
IMG0001938.jpg,train,1,8
IMG0001939.jpg,train,1,6
IMG0001948.jpg,train,1,5
IMG0001964.jpg,train,1,7
IMG0001965.jpg,train,1,5
IMG0001970.jpg,train,1,4
IMG0001971.jpg,train,1,13
IMG0001980.jpg,train,1,8
IMG0001981.jpg,train,1,9
IMG0002020.jpg,train,1,6
IMG0002021.jpg,train,1,8
IMG0002036.jpg,train,2,7;5
IMG0002037.jpg,train,2,4;4
IMG0002085.jpg,train,1,4
IMG0002086.jpg,train,2,4;4
IMG0002105.jpg,train,1,8
IMG0002106.jpg,train,1,8
IMG0002122.jpg,train,1,7
IMG0002123.jpg,train,1,5
IMG0002126.jpg,train,1,8
IMG0002127.jpg,train,1,10
IMG0002148.jpg,train,1,4
IMG0002180.jpg,train,1,11
IMG0002181.jpg,train,2,6;6
IMG0002208.jpg,train,2,7;7
IMG0002225.jpg,train,2,4;7
IMG0002265.jpg,train,2,7;6
IMG0002272.jpg,train,2,6;5
IMG0002274.jpg,train,2,6;7
IMG0002287.jpg,train,2,8;6
IMG0002298.jpg,train,2,7;6
IMG0002299.jpg,train,2,7;7
IMG0002300.jpg,train,2,5;7
IMG0002301.jpg,train,2,4;6
IMG0002302.jpg,train,1,7
IMG0002303.jpg,train,1,7
IMG0002304.jpg,train,1,7
IMG0002305.jpg,train,1,10
IMG0002306.jpg,train,1,9
IMG0002307.jpg,train,1,5
IMG0002308.jpg,train,1,9
IMG0002309.jpg,train,1,9
IMG0002310.jpg,train,1,9
IMG0002311.jpg,train,1,10
IMG0002312.jpg,train,1,8
IMG0002313.jpg,train,1,10
IMG0002314.jpg,train,1,10
IMG0002315.jpg,train,1,5
IMG0002316.jpg,train,1,4
IMG0002317.jpg,train,1,6
IMG0002318.jpg,train,2,5;4
IMG0002319.jpg,train,2,6;5
IMG0002320.jpg,train,1,6
IMG0002321.jpg,train,2,4;4
IMG0002322.jpg,train,1,5
IMG0002323.jpg,train,2,6;5
IMG0002324.jpg,train,1,6
IMG0002325.jpg,train,2,5;6
IMG0002326.jpg,train,1,6
IMG0002327.jpg,train,2,4;4
IMG0002328.jpg,train,2,6;4
IMG0002329.jpg,train,2,4;6
