image_id,reason,exact_group,near_group,fractured,fracture_count,pixel_md5
IMG0000005.jpg,exact_pixel_duplicate_of_IMG0000003.jpg,PX001,,0,0,c7b9b7472e2a9de1bd3bb960dd07ea94
IMG0000635.jpg,near_duplicate_group_with_label_conflict,,NEAR013,0,0,5263f1dffa30e52373fedfe5f2456d57
IMG0001242.jpg,near_duplicate_group_with_label_conflict,,NEAR013,0,0,0f525314761ef3d651e600a1efc42ba3
IMG0001931.jpg,near_duplicate_group_with_label_conflict,,NEAR027,0,0,c486179280656feadaa97bde0fa9a74b
IMG0002291.jpg,exact_pixel_duplicate_of_IMG0000003.jpg,PX001,,0,0,c7b9b7472e2a9de1bd3bb960dd07ea94
IMG0002292.jpg,exact_pixel_duplicate_of_IMG0000000.jpg,PX070,,0,0,da1ae4c450e593921b10bd8828d13246
IMG0002293.jpg,exact_pixel_duplicate_of_IMG0000003.jpg,PX001,,0,0,c7b9b7472e2a9de1bd3bb960dd07ea94
IMG0002294.jpg,exact_pixel_duplicate_of_IMG0000006.jpg,PX012,,0,0,23fe7859e076d9746a758caba7f316e1
IMG0002295.jpg,exact_pixel_duplicate_of_IMG0000001.jpg,PX020,,0,0,39e9915d955d9faceda91eb4a7d55782
IMG0002296.jpg,exact_pixel_duplicate_of_IMG0000002.jpg,PX052,,0,0,a693ea2d186cd8198467cde1d1ec7316
IMG0002297.jpg,exact_pixel_duplicate_of_IMG0000004.jpg,PX007,,0,0,19ffddd1cb0fb74b224a93b1b613daf3
IMG0002299.jpg,exact_pixel_duplicate_of_IMG0000261.jpg,PX004,,1,2,959bd00dd19406c4432e6f2af40195e0
IMG0002300.jpg,exact_pixel_duplicate_of_IMG0000261.jpg,PX004,,1,2,959bd00dd19406c4432e6f2af40195e0
IMG0002379.jpg,exact_pixel_duplicate_of_IMG0002298.jpg,PX040,,1,2,849a0141e23dc1b806c2db57e102ab85
IMG0002533.jpg,near_duplicate_group_with_label_conflict,,NEAR027,1,1,157dbf7553881de636d49090c18e6f0d
IMG0002615.jpg,exact_pixel_duplicate_of_IMG0001763.jpg,PX014,,1,1,274e865774a3793495f9e3212ebe8b12
IMG0002617.jpg,near_duplicate_group_with_label_conflict,,NEAR031,1,1,50b80a74f23726aeeabae7a99e9149cf
IMG0002738.jpg,near_duplicate_group_with_label_conflict,,NEAR042,1,1,1fcb4b11ec53dfbf61fba5dd7f871c7c
IMG0002877.jpg,near_duplicate_group_with_label_conflict,,NEAR013,0,0,959910424ba3597d528339620ed637a8
IMG0002886.jpg,exact_pixel_duplicate_with_label_conflict,PX047,,1,1,9aa24de45a0c8fd984205907078182b9
IMG0002911.jpg,near_duplicate_group_with_label_conflict,,NEAR027,0,0,47f3f871bf63f3a018765cde0656db3f
IMG0002952.jpg,near_duplicate_group_with_label_conflict,,NEAR066,0,0,1b31ff78c2b65d61393c8e657f25ad36
IMG0002979.jpg,near_duplicate_group_with_label_conflict,,NEAR071,1,1,ed94b5f8c9535f4236db4dffa34a8d24
IMG0002987.jpg,near_duplicate_group_with_label_conflict,,NEAR072,1,1,1bf444fb8cbaa7b8b6fcd4731315d05c
IMG0002998.jpg,exact_pixel_duplicate_with_label_conflict,PX065,,1,1,cca10ce01018816b6c3e992197c873bd
IMG0003034.jpg,exact_pixel_duplicate_with_label_conflict,PX003,,1,1,52d4bb8516e68543bb79981a4701cea4
